,Year
711,9
712,9
713,6
714,9
715,5
716,8
717,9
718,8
719,7
720,8
721,9
722,10
723,14
724,6
725,7
726,8
727,8
728,8
729,8
730,5
731,8
732,10
733,9
734,8
735,7
736,14
737,6
738,8
739,7
740,8
741,8
742,6
743,8
744,9
745,9
746,7
747,10
748,8
749,5
750,8
751,7
752,20
753,12
754,5
755,12
756,5
757,7
758,7
759,12
760,6
761,10
762,8
763,7
764,7
765,6
766,12
767,7
768,5
769,6
770,6
771,7
772,10
773,12
774,5
775,9
776,7
777,5
778,10
779,8
780,5
781,8
782,7
783,7
784,6
785,9
786,8
787,10
788,7
789,7
790,5
791,10
792,6
793,8
794,7
795,7
796,6
797,6
798,6
799,7
800,14
801,6
802,6
803,11
804,8
805,7
806,8
807,7
808,11
809,8
810,13
811,8
812,11
813,10
