,Unnamed: 0,Name,Location,Year,Kilometers_Driven,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,Fuel_Type_Diesel,Fuel_Type_Petrol,Transmission_Automatic,Transmission_Manual,Current_Age
58,365,Mini Clubman Cooper S,Pune,2017,8350,First,13.8,1998,192.0,5.0,44.59,35.0,0,1,0,1,7
59,372,Maruti Vitara Brezza ZDi Plus,Hyderabad,2017,39000,First,24.3,1248,88.5,5.0,12.0,9.49,1,0,0,1,7
60,380,Honda BRV i-VTEC V CVT,Kochi,2017,35676,First,16.0,1497,117.3,7.0,14.65,9.48,0,1,1,0,7
61,389,Jaguar XE Portfolio,Mumbai,2017,9000,First,13.5,1999,246.74,5.0,53.72,34.5,0,1,1,0,7
62,401,Mitsubishi Pajero Sport 4X2 AT DualTone BlackTop,Hyderabad,2018,12000,First,13.5,2477,175.56,7.0,33.91,28.0,1,0,1,0,6
64,414,Honda BR-V i-VTEC S MT,Pune,2017,9000,First,15.4,1497,117.3,7.0,12.51,8.5,0,1,0,1,7
65,417,Hyundai i20 Active SX Petrol,Jaipur,2017,40250,First,17.19,1197,81.86,5.0,9.74,6.9,0,1,0,1,7
66,418,Mercedes-Benz GLC 43 AMG Coupe,Coimbatore,2018,22397,First,11.5,2996,367.0,5.0,95.38,70.99,0,1,1,0,6
67,423,Audi A6 35 TFSI Matrix,Mumbai,2016,47000,First,15.26,1798,187.74,5.0,60.59,24.5,0,1,1,0,8
69,442,Mahindra Bolero ZLX,Coimbatore,2016,82756,First,15.96,2523,62.1,7.0,11.28,7.7,1,0,0,1,8
70,446,Volkswagen Vento 1.6 Comfortline,Mumbai,2017,15000,Second,16.09,1598,103.5,5.0,11.48,7.1,0,1,0,1,7
71,456,Maruti S-Cross Delta DDiS 200 SH,Delhi,2018,12923,First,25.1,1248,88.5,5.0,11.26,8.92,1,0,0,1,6
72,457,Audi Q3 35 TDI Quattro Premium Plus,Coimbatore,2016,86642,First,15.17,1968,181.0,5.0,43.65,20.37,1,0,1,0,8
73,458,BMW 3 Series Luxury Line,Bangalore,2016,19235,First,21.76,1995,190.0,5.0,62.07,36.5,1,0,1,0,8
74,473,Mercedes-Benz E-Class E 220 d,Kochi,2018,26405,First,12.6,1950,191.34,5.0,86.97,51.43,0,1,1,0,6
75,489,Mercedes-Benz GLS 350d 4MATIC,Pune,2017,129000,First,11.0,2987,258.0,7.0,1.0,56.0,1,0,1,0,7
77,519,Hyundai Creta 1.6 SX,Chennai,2016,69434,First,15.8,1591,121.3,5.0,14.84,8.0,0,1,0,1,8
78,544,Mercedes-Benz New C-Class Progressive C 200,Kochi,2019,13190,First,0.0,1950,181.43,5.0,49.49,38.99,0,1,1,0,5
79,549,BMW X1 sDrive 20d xLine,Coimbatore,2017,31645,First,20.68,1995,190.0,5.0,48.18,29.4,1,0,1,0,7
81,558,Skoda Rapid 1.5 TDI Style,Hyderabad,2017,31000,First,21.13,1498,108.4,5.0,15.38,10.5,1,0,0,1,7
82,562,Toyota Innova Crysta 2.8 GX AT,Ahmedabad,2016,100200,First,11.36,2755,171.5,7.0,19.21,17.0,1,0,1,0,8
83,568,Jeep Compass 2.0 Limited,Jaipur,2018,29000,First,17.1,1956,170.0,5.0,22.95,19.0,1,0,0,1,6
85,578,Volkswagen Polo 1.5 TDI Highline,Coimbatore,2018,33558,First,20.14,1498,88.0,5.0,10.32,8.12,1,0,0,1,6
86,599,Toyota Innova Crysta 2.8 ZX AT,Coimbatore,2019,40674,First,11.36,2755,171.5,7.0,28.05,24.82,1,0,1,0,5
87,603,Mercedes-Benz GLC 220d 4MATIC Style,Mumbai,2018,10003,First,17.9,2143,170.0,5.0,59.77,48.5,1,0,1,0,6
88,604,Volkswagen Vento 1.5 TDI Highline AT,Mumbai,2016,25000,First,21.5,1498,108.5,5.0,15.86,9.45,1,0,1,0,8
89,615,Toyota Innova Crysta 2.4 GX MT 8S,Hyderabad,2017,52000,First,13.68,2393,147.8,8.0,19.43,17.5,1,0,0,1,7
90,618,Maruti Vitara Brezza ZDi,Pune,2016,21558,First,24.3,1248,88.5,5.0,10.65,8.9,1,0,0,1,8
91,632,Mini Cooper 5 DOOR D,Mumbai,2016,11000,First,20.7,1496,113.98,5.0,42.12,29.5,1,0,1,0,8
92,635,Tata Safari Storme VX Varicor 400,Jaipur,2017,37000,First,14.1,2179,154.0,7.0,16.95,11.25,1,0,0,1,7
93,636,Honda BR-V i-DTEC VX MT,Kochi,2017,32249,First,21.9,1498,98.6,7.0,15.45,10.79,1,0,0,1,7
94,639,Maruti Ignis 1.2 Alpha,Mumbai,2017,7000,First,20.89,1197,81.8,5.0,7.87,5.7,0,1,0,1,7
96,657,Honda BRV i-VTEC V CVT,Mumbai,2017,18000,First,16.0,1497,117.3,7.0,15.02,9.25,0,1,1,0,7
97,668,Maruti Vitara Brezza ZDi Plus Dual Tone,Coimbatore,2017,18108,First,24.3,1248,88.5,5.0,12.56,11.31,1,0,0,1,7
99,697,Toyota Innova Crysta 2.4 ZX MT,Bangalore,2017,64798,First,13.68,2393,147.8,7.0,26.45,18.75,1,0,0,1,7
100,714,Maruti Dzire AMT ZXI Plus,Hyderabad,2017,13000,First,22.0,1197,81.8,5.0,10.34,8.5,0,1,1,0,7
101,731,Hyundai Grand i10 1.2 CRDi Magna,Kolkata,2017,14000,First,24.0,1186,73.97,5.0,7.46,4.9,1,0,0,1,7
103,741,Maruti Ertiga VDI,Ahmedabad,2017,63939,First,25.47,1248,88.5,7.0,10.41,7.75,1,0,0,1,7
107,756,Honda Jazz VX,Kochi,2018,20024,First,18.2,1199,88.7,5.0,9.1,8.46,0,1,0,1,6
109,784,Hyundai Creta 1.6 SX,Ahmedabad,2016,21000,First,15.8,1591,121.3,5.0,13.74,10.9,0,1,0,1,8
111,796,Mahindra XUV500 W9 AT,Coimbatore,2019,19654,First,14.0,2179,155.0,7.0,21.33,17.63,1,0,1,0,5
112,802,Mercedes-Benz GLE 250d,Mumbai,2016,21000,First,17.9,2143,201.15,5.0,78.76,56.0,1,0,1,0,8
113,809,Honda Amaze VX Diesel,Hyderabad,2018,12000,First,27.4,1498,98.6,5.0,10.34,8.5,1,0,0,1,6
115,825,Volkswagen Ameo 1.5 TDI Highline,Mumbai,2017,51000,First,21.66,1498,108.62,5.0,10.04,6.45,1,0,0,1,7
116,838,Mahindra Xylo H4,Chennai,2016,215000,First,14.02,2179,118.3,7.0,11.67,7.5,1,0,0,1,8
117,850,Toyota Innova Crysta 2.4 ZX MT,Pune,2017,43200,First,13.68,2393,147.8,7.0,25.52,18.6,1,0,0,1,7
118,869,Hyundai Xcent 1.2 CRDi S,Jaipur,2018,25302,First,25.4,1186,73.97,5.0,8.56,5.9,1,0,0,1,6
119,875,Toyota Innova Crysta 2.8 ZX AT,Kochi,2018,41736,First,11.36,2755,171.5,7.0,27.0,19.92,1,0,1,0,6
120,878,Renault KWID 1.0 RXT Optional,Jaipur,2017,63262,First,21.7,999,67.0,5.0,4.78,3.25,0,1,0,1,7
121,880,Maruti Celerio VXI Optional AMT,Pune,2017,7500,First,23.1,998,67.04,5.0,6.14,5.0,0,1,1,0,7
123,897,Datsun redi-GO T Option,Bangalore,2016,20487,First,22.7,799,53.64,5.0,4.37,2.66,0,1,0,1,8
126,940,Jeep Compass 2.0 Limited 4X4,Mumbai,2017,52000,First,16.3,1956,170.0,5.0,24.26,20.0,1,0,0,1,7
127,941,Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic,Kochi,2018,31427,First,15.68,1999,177.0,5.0,75.12,59.72,1,0,1,0,6
128,942,Maruti Baleno Alpha Diesel,Kolkata,2016,29000,First,27.39,1248,74.0,5.0,9.53,6.5,1,0,0,1,8
130,952,Toyota Innova Crysta 2.4 ZX MT,Coimbatore,2018,92056,First,13.68,2393,147.8,7.0,26.45,18.39,1,0,0,1,6
131,954,Honda Jazz VX Diesel,Mumbai,2016,38000,First,27.3,1498,98.6,5.0,11.15,6.21,1,0,0,1,8
132,962,Mercedes-Benz C-Class Progressive C 220d,Mumbai,2018,8682,First,0.0,1950,194.0,5.0,52.26,39.5,1,0,1,0,6
134,1001,Renault KWID RXT Optional,Hyderabad,2018,1900,First,25.17,799,53.3,5.0,4.8,4.45,0,1,0,1,6
135,1010,Ford Ecosport Signature Edition Diesel,Coimbatore,2019,23154,First,23.0,1498,98.96,5.0,12.12,11.65,1,0,0,1,5
136,1012,Toyota Innova Crysta 2.4 GX MT,Chennai,2017,67489,First,13.68,2393,147.8,7.0,19.37,16.5,1,0,0,1,7
139,1039,Jeep Compass 1.4 Limited Option,Mumbai,2017,4000,First,16.0,1368,160.0,5.0,23.68,17.75,0,1,1,0,7
141,1050,Ford EcoSport 1.5 Petrol Titanium Plus AT,Coimbatore,2018,18385,First,14.8,1497,121.36,5.0,14.1,12.41,0,1,1,0,6
142,1056,Maruti S-Cross Zeta DDiS 200 SH,Coimbatore,2016,74611,First,25.1,1248,88.5,5.0,13.26,7.94,1,0,0,1,8
143,1065,Toyota Innova Crysta 2.8 ZX AT,Bangalore,2016,108000,First,11.36,2755,171.5,7.0,28.05,20.5,1,0,1,0,8
144,1072,Maruti Ertiga VDI,Pune,2016,130000,First,25.47,1248,88.5,7.0,11.27,7.0,1,0,0,1,8
145,1077,Maruti Vitara Brezza ZDi Plus,Kochi,2019,34688,First,24.3,1248,88.5,5.0,11.2,10.49,1,0,0,1,5
147,1094,Maruti Vitara Brezza VDi,Kolkata,2017,35000,First,24.3,1248,88.5,5.0,9.46,6.5,1,0,0,1,7
150,1103,Tata Hexa XT,Delhi,2017,55000,First,17.6,2179,153.86,7.0,19.86,12.0,1,0,0,1,7
151,1110,Tata Tiago 1.2 Revotron XZ,Coimbatore,2018,9565,First,23.84,1199,84.0,5.0,6.59,5.88,0,1,0,1,6
152,1113,Mercedes-Benz E-Class E 220 d,Kochi,2018,20446,First,12.6,1950,191.34,5.0,86.97,51.35,0,1,1,0,6
154,1139,Hyundai Grand i10 1.2 Kappa Magna,Delhi,2017,8471,First,18.9,1197,81.86,5.0,6.54,5.0,0,1,0,1,7
155,1140,Toyota Innova Crysta 2.8 ZX AT,Hyderabad,2016,69000,First,11.36,2755,171.5,7.0,26.56,19.75,1,0,1,0,8
156,1141,Renault Duster 110PS Diesel RxZ AMT,Coimbatore,2017,30090,First,19.6,1461,108.45,5.0,15.05,11.44,1,0,1,0,7
157,1146,Mahindra Bolero ZLX,Mumbai,2016,40448,First,15.96,2523,62.1,7.0,11.01,3.5,1,0,0,1,8
158,1147,Maruti Vitara Brezza ZDi,Coimbatore,2018,64456,First,24.3,1248,88.5,5.0,11.0,10.46,1,0,0,1,6
159,1149,Honda Amaze S Petrol,Kochi,2016,51672,First,19.5,1199,88.76,5.0,7.55,5.68,0,1,0,1,8
160,1157,Hyundai Grand i10 1.2 Kappa Asta,Hyderabad,2017,20000,First,18.9,1197,81.86,5.0,7.82,5.98,0,1,0,1,7
161,1159,Hyundai Grand i10 1.2 Kappa Magna,Kochi,2018,50234,First,18.9,1197,81.86,5.0,6.32,4.77,0,1,0,1,6
166,1197,Toyota Innova Crysta 2.4 VX MT,Hyderabad,2017,24393,First,13.68,2393,147.8,7.0,22.87,20.4,1,0,0,1,7
167,1198,Volkswagen Polo 1.0 MPI Trendline,Hyderabad,2019,1000,First,18.78,999,75.0,5.0,6.74,5.68,0,1,0,1,5
169,1226,Toyota Corolla Altis 1.8 VL CVT,Delhi,2017,21000,First,14.28,1798,138.03,5.0,23.25,18.0,0,1,1,0,7
171,1242,Jaguar XE 2.0L Diesel Prestige,Delhi,2018,1000,First,13.6,1999,177.0,5.0,52.77,40.0,1,0,1,0,6
172,1243,Mahindra Xylo D4,Chennai,2016,85000,First,14.95,2489,93.7,7.0,11.67,6.15,1,0,0,1,8
173,1247,Maruti Swift VDI,Kochi,2017,34613,First,28.4,1248,74.0,5.0,7.92,6.24,1,0,0,1,7
175,1270,Honda City i-VTEC CVT VX,Kochi,2018,22974,First,18.0,1497,117.3,5.0,15.55,11.97,0,1,1,0,6
180,1305,BMW X1 M Sport sDrive 20d,Mumbai,2016,31000,First,17.05,1995,190.0,5.0,50.97,29.5,1,0,1,0,8
184,1324,Maruti Ignis 1.2 Delta,Coimbatore,2019,16862,First,20.89,1197,81.8,5.0,6.07,6.06,0,1,0,1,5
185,1336,Audi Q7 45 TDI Quattro Technology,Mumbai,2016,20002,First,14.75,2967,245.0,7.0,1.04,67.0,1,0,1,0,8
186,1362,Maruti Alto K10 VXI,Kolkata,2018,2100,First,24.07,998,67.1,5.0,4.33,3.6,0,1,0,1,6
187,1363,Hyundai Grand i10 1.2 Kappa Sportz AT,Coimbatore,2018,20667,First,18.9,1197,81.86,5.0,8.63,7.55,0,1,1,0,6
188,1368,Hyundai Grand i10 1.2 Kappa Sportz,Kochi,2019,18453,First,18.9,1197,81.86,5.0,6.68,6.17,0,1,0,1,5
190,1381,Renault Duster 110PS Diesel RxZ AMT,Bangalore,2016,45000,First,19.6,1461,108.45,5.0,15.05,11.5,1,0,1,0,8
191,1393,Hyundai Grand i10 1.2 Kappa Magna AT,Bangalore,2018,3000,First,18.9,1197,81.86,5.0,7.98,6.2,0,1,1,0,6
192,1407,Toyota Innova Crysta 2.8 ZX AT,Kolkata,2016,66618,First,11.36,2755,171.5,7.0,24.82,15.49,1,0,1,0,8
193,1412,Tata Zest Revotron 1.2T XM,Mumbai,2016,43706,First,17.57,1193,88.7,5.0,7.63,4.0,0,1,0,1,8
194,1427,Toyota Innova Crysta 2.4 VX MT,Kochi,2018,8899,First,13.68,2393,147.8,7.0,22.86,19.92,1,0,0,1,6
195,1437,Ford EcoSport 1.5 Petrol Titanium,Pune,2018,17000,First,17.0,1497,121.36,5.0,11.06,9.2,0,1,0,1,6
196,1443,Maruti Alto K10 VXI,Hyderabad,2016,10000,First,24.07,998,67.1,5.0,4.53,3.5,0,1,0,1,8
198,1472,Hyundai Elantra 2.0 SX Option AT,Delhi,2017,9500,First,14.62,1999,149.92,5.0,21.77,16.35,0,1,1,0,7
199,1490,Hyundai Creta 1.6 SX Automatic Diesel,Chennai,2016,55000,First,17.6,1582,126.2,5.0,18.35,12.5,1,0,1,0,8
200,1494,Volkswagen Ameo 1.5 TDI Comfortline,Jaipur,2016,58095,First,21.66,1498,108.62,5.0,9.19,5.8,1,0,0,1,8
202,1497,Toyota Corolla Altis 1.8 VL CVT,Kochi,2018,28321,First,14.28,1798,138.03,5.0,23.25,17.49,0,1,1,0,6
203,1505,Land Rover Range Rover Sport SE,Kochi,2019,26013,First,12.65,2993,255.0,5.0,1.39,97.07,1,0,1,0,5
204,1519,Maruti Dzire AMT ZDI Plus,Hyderabad,2017,28226,First,28.4,1248,73.75,5.0,11.52,9.15,1,0,1,0,7
205,1525,Ford EcoSport 1.5 Diesel Titanium Plus,Chennai,2016,29200,First,23.0,1498,98.96,5.0,13.23,7.7,1,0,0,1,8
206,1529,Tata Zest Quadrajet 1.3 XT,Coimbatore,2018,38310,First,20.65,1248,88.7,5.0,10.06,6.69,1,0,0,1,6
207,1531,Skoda Rapid 1.5 TDI AT Style,Kolkata,2017,31300,First,21.72,1498,108.4,5.0,15.34,10.5,1,0,1,0,7
208,1532,Toyota Innova Crysta 2.4 VX MT 8S,Coimbatore,2019,11241,First,13.68,2393,147.8,8.0,24.01,22.55,1,0,0,1,5
209,1542,Mahindra Thar CRDe,Jaipur,2016,19000,First,16.55,2498,105.0,6.0,11.39,9.25,1,0,0,1,8
210,1544,Ford Aspire Titanium Diesel,Coimbatore,2017,30279,First,26.1,1498,99.0,5.0,9.79,7.29,1,0,0,1,7
211,1545,Mini Cooper 3 DOOR D,Mumbai,2016,20000,First,20.7,1496,113.98,4.0,35.0,23.5,1,0,1,0,8
213,1558,Volkswagen Ameo 1.2 MPI Highline,Coimbatore,2017,22389,First,17.0,1198,73.75,5.0,8.68,7.23,0,1,0,1,7
214,1568,Land Rover Discovery Sport TD4 HSE 7S,Mumbai,2017,40000,First,12.81,1999,148.31,7.0,66.39,41.5,1,0,1,0,7
215,1574,Volkswagen Tiguan 2.0 TDI Highline,Jaipur,2017,50510,First,17.06,1968,141.0,5.0,36.45,24.9,1,0,1,0,7
216,1583,Audi Q7 45 TDI Quattro Premium Plus,Kochi,2019,6773,First,14.75,2967,245.0,7.0,91.38,72.94,1,0,1,0,5
218,1631,BMW X1 M Sport sDrive 20d,Kochi,2017,32838,First,17.05,1995,190.0,5.0,50.97,30.29,1,0,1,0,7
219,1652,Jaguar XE 2.0L Diesel Prestige,Hyderabad,2017,4000,First,13.6,1999,177.0,5.0,53.41,38.0,1,0,1,0,7
221,1677,Hyundai Grand i10 1.2 Kappa Magna,Delhi,2017,12248,First,18.9,1197,81.86,5.0,6.54,4.9,0,1,0,1,7
223,1689,BMW 5 Series 520d Luxury Line,Kochi,2018,32586,First,22.48,1995,190.0,5.0,67.87,37.3,1,0,1,0,6
224,1690,Mercedes-Benz GLE 350d,Coimbatore,2018,40129,First,11.57,2987,254.79,5.0,95.13,70.8,1,0,1,0,6
225,1692,Hyundai Grand i10 1.2 Kappa Sportz,Kochi,2018,10393,First,18.9,1197,81.86,5.0,6.62,6.03,0,1,0,1,6
226,1704,Honda Amaze V CVT Petrol,Pune,2018,1700,First,19.0,1199,88.76,5.0,9.44,7.8,0,1,1,0,6
227,1708,Audi Q3 35 TDI Quattro Premium Plus,Coimbatore,2016,58661,First,15.17,1968,181.0,5.0,48.64,28.03,1,0,1,0,8
229,1725,Maruti Ciaz Zeta,Mumbai,2017,5500,First,21.56,1462,103.25,5.0,11.11,8.2,0,1,0,1,7
231,1747,Maruti Eeco 7 Seater Standard,Coimbatore,2017,28371,First,15.1,1196,73.0,7.0,4.98,4.74,0,1,0,1,7
232,1754,Renault KWID Climber 1.0 MT,Delhi,2017,15000,First,21.7,999,67.0,5.0,4.98,4.25,0,1,0,1,7
233,1773,Honda WRV i-VTEC VX,Kochi,2018,15135,First,17.5,1199,88.7,5.0,10.57,9.29,0,1,0,1,6
234,1783,Maruti Wagon R VXI AMT,Coimbatore,2017,37832,First,22.5,998,67.0,5.0,6.33,5.23,0,1,1,0,7
235,1784,Hyundai Grand i10 1.2 Kappa Asta,Coimbatore,2016,43041,First,18.9,1197,81.86,5.0,8.1,6.01,0,1,0,1,8
236,1793,Hyundai Grand i10 1.2 Kappa Magna,Kolkata,2017,31184,First,18.9,1197,81.86,5.0,6.4,5.0,0,1,0,1,7
237,1794,Maruti Dzire AMT ZDI Plus,Pune,2017,41747,First,28.4,1248,73.75,5.0,11.26,9.0,1,0,1,0,7
238,1797,Toyota Etios Liva 1.2 VX Dual Tone,Coimbatore,2019,20877,First,18.16,1197,78.9,5.0,7.59,7.27,0,1,0,1,5
239,1798,Maruti Swift VXI,Mumbai,2016,23555,First,22.0,1197,81.8,5.0,7.0,5.1,0,1,0,1,8
240,1803,Volkswagen Polo GT TSI,Mumbai,2016,28000,First,17.21,1197,103.5,5.0,11.26,7.25,0,1,1,0,8
241,1805,Tata Bolt Quadrajet XE,Hyderabad,2017,40000,First,22.95,1248,74.0,5.0,7.43,5.25,1,0,0,1,7
243,1824,Jeep Compass 2.0 Limited Option Black,Mumbai,2017,7000,First,17.1,1956,170.0,5.0,24.02,17.45,1,0,0,1,7
245,1830,Mercedes-Benz GLE 350d,Coimbatore,2017,33552,First,11.57,2987,254.79,5.0,95.13,64.87,1,0,1,0,7
246,1841,Mercedes-Benz A Class A180 Sport,Mumbai,2016,17000,First,15.5,1595,122.0,5.0,34.63,17.25,0,1,1,0,8
247,1842,Hyundai Grand i10 1.2 Kappa Magna,Kochi,2018,46493,First,18.9,1197,81.86,5.0,6.32,5.53,0,1,0,1,6
250,1877,Toyota Innova Crysta 2.8 GX AT,Kochi,2019,10601,First,11.36,2755,171.5,7.0,20.74,19.65,1,0,1,0,5
251,1885,Mercedes-Benz GLS 350d Grand Edition,Delhi,2018,6000,First,11.0,2987,258.0,7.0,1.02,79.0,1,0,1,0,6
252,1886,Hyundai Grand i10 1.2 Kappa Sportz,Delhi,2018,9434,First,18.9,1197,81.86,5.0,6.71,5.75,0,1,0,1,6
253,1896,Volkswagen Ameo 1.2 MPI Highline,Coimbatore,2018,35569,First,17.0,1198,73.75,5.0,8.68,7.27,0,1,0,1,6
254,1902,Toyota Fortuner 2.8 2WD AT,Ahmedabad,2017,15000,First,12.9,2755,174.5,7.0,34.45,30.0,1,0,1,0,7
255,1920,Maruti Dzire VDI,Delhi,2016,45376,First,28.4,1248,73.75,5.0,8.58,5.75,1,0,0,1,8
256,1923,Ford EcoSport 1.5 Diesel Titanium Plus,Kochi,2017,78526,First,23.0,1498,98.96,5.0,12.67,8.09,1,0,0,1,7
258,1932,Ford EcoSport 1.5 Diesel Titanium,Mumbai,2017,26000,First,23.0,1498,98.96,5.0,11.89,8.99,1,0,0,1,7
259,1934,Maruti Dzire ZDI Plus,Jaipur,2017,24000,First,28.4,1248,73.75,5.0,10.48,8.2,1,0,0,1,7
261,1961,Maruti Vitara Brezza ZDi,Hyderabad,2016,41372,First,24.3,1248,88.5,5.0,11.02,9.3,1,0,0,1,8
262,1963,Mercedes-Benz GLA Class 200 d Sport,Pune,2017,35000,First,17.9,2143,136.0,5.0,41.94,23.5,1,0,1,0,7
264,1991,Jeep Compass 2.0 Longitude,Kochi,2018,28937,First,17.1,1956,170.0,5.0,21.38,17.02,1,0,0,1,6
266,1995,Maruti Vitara Brezza ZDi Plus AMT Dual Tone,Chennai,2018,3000,First,24.3,1248,88.5,5.0,12.88,11.25,1,0,1,0,6
268,2003,BMW X1 sDrive 20d xLine,Bangalore,2016,28143,First,20.68,1995,190.0,5.0,48.18,28.5,1,0,1,0,8
269,2008,Toyota Innova Crysta 2.4 VX MT,Hyderabad,2017,67000,First,13.68,2393,147.8,7.0,22.87,16.5,1,0,0,1,7
270,2013,Hyundai Grand i10 1.2 Kappa Magna AT,Kochi,2018,5354,First,18.9,1197,81.86,5.0,7.37,6.76,0,1,1,0,6
271,2014,Volkswagen Polo 1.0 MPI Comfortline,Chennai,2016,42000,Second,18.78,999,75.0,5.0,7.33,5.5,0,1,0,1,8
273,2030,Toyota Innova Crysta 2.4 VX MT,Mumbai,2016,25121,First,13.68,2393,147.8,7.0,23.06,17.11,1,0,0,1,8
275,2054,Maruti Ignis 1.2 Alpha,Mumbai,2017,1000,First,20.89,1197,81.8,5.0,7.87,6.36,0,1,0,1,7
277,2061,Jeep Compass 2.0 Longitude,Coimbatore,2018,33218,First,17.1,1956,170.0,5.0,22.46,19.05,1,0,0,1,6
